06-07 Harvest 
,Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species,
,BUTTE VALLEY,10/7,27,125,136,4.63,0.41,5.04,83,16,MALL,PNTL,
,BUTTE VALLEY,10/8,21,41,51,1.95,0.48,2.43,18,10,MALL,GADW,
,HONEY LAKE-DAKIN,10/7,49,229,229,4.67,,4.67,90,67,MALL,GADW,
,HONEY LAKE-DAKIN,10/8,18,60,60,3.33,,3.33,27,8,MALL,AMWI,
,HONEY LAKE-FLEMING,10/7,37,194,199,5.24,0.14,5.38,96,55,MALL,GADW,
,HONEY LAKE-FLEMING,10/8,28,71,71,2.54,,2.54,28,15,MALL,GADW,
,WILLOW CREEK,10/7,26,117,121,4.50,0.15,4.65,80,14,MALL,GADW,
,ASH CREEK,10/11,15,40,40,2.67,,2.67,15,8,MALL,GADW,
,ASH CREEK,10/14,14,41,43,2.93,,3.07,11,9,AMWI,GADW,
,ASH CREEK,10/15,11,12,13,1.09,0.09,1.18,4,3,MALL,GADW,
,HONEY LAKE-DAKIN,10/11,23,110,110,4.78,,4.78,48,25,MALL,GADW,
,HONEY LAKE-DAKIN,10/14,32,103,107,3.22,0.13,3.34,45,16,MALL,SHOV,
,HONEY LAKE-DAKIN,10/15,27,76,77,2.81,0.04,2.85,28,23,MALL,SHOV,
,HONEY LAKE-FLEMING,10/11,8,38,38,4.75,,4.75,11,10,MALL,GADW,
,HONEY LAKE-FLEMING,10/14,25,99,99,3.96,,3.96,56,16,MALL,GADW,
,HONEY LAKE-FLEMING,10/15,13,62,62,4.77,,4.77,31,18,MALL,GADW,
,WILLOW CREEK,10/11,5,8,9,1.60,0.20,1.80,4,3,MALL,GADW,
,WILLOW CREEK,10/14,1,0,0,,,,0,0,,,
,WILLOW CREEK,10/15,3,17,17,5.67,,5.67,7,4,GADW,AMWI,
,CHINA ISLAND (NO.GL),10/21,34,104,125,3.06,0.62,3.68,63,21,MALL,WDDU,
,CHINA ISLAND (NO.GL),10/22,28,86,108,3.07,0.79,3.86,25,22,MALL,SHOV,
,ASH CREEK,10/18,5,8,9,1.60,0.20,1.80,3,3,GADW,AMWI,
,ASH CREEK,10/21,11,40,40,3.64,,3.64,16,13,AMWI,MALL,
,ASH CREEK,10/22,8,20,20,2.50,,2.50,14,4,AMWI,MALL,
,BUTTE VALLEY,10/18,8,17,19,2.13,0.25,2.38,6,6,GWTL,SHOV,
,BUTTE VALLEY,10/21,10,35,35,3.50,,3.50,15,7,GWTL,GADW,
,BUTTE VALLEY,10/22,1,1,1,1.00,,1.00,1,0,PNTL,,
,FINNEY-RAMER,10/21,15,31,31,2.07,,2.07,11,9,SHOV,GWTL,
,FINNEY-RAMER,10/22,7,11,11,1.57,,1.57,4,3,SHOV,GWTL,
,GADWALL (NO.GL),10/21,41,232,232,5.66,,5.66,74,73,GWTL,CINT,
,GADWALL (NO.GL),10/22,34,148,149,4.35,,4.38,62,46,GWTL,CINT,
,GOLD HILLS,10/21,0,0,0,,,,0,0,,,
,GOLD HILLS,10/22,0,0,0,,,,0,0,,,
,GOODYEAR SLOUGH,10/21,20,24,25,1.20,0.05,1.25,16,3,SHOV,MALL,
,GOODYEAR SLOUGH,10/22,14,3,4,0.21,,0.29,3,0,SHOV,,
,GRIZZLY ISLAND,10/21,424,1847,1866,4.36,0.04,4.40,568,408,SHOV,MALL,
,GRIZZLY ISLAND,10/22,188,438,439,2.33,,2.34,144,121,SHOV,GWTL,
,KERN,10/18,66,236,236,3.58,,3.58,54,48,GWTL,GADW,
,KERN,10/21,65,209,222,3.22,,3.42,39,38,GWTL,REDH,
,ISLAND SLOUGH,10/21,49,175,175,3.57,,3.57,102,66,GWTL,SHOV,
,ISLAND SLOUGH,10/22,13,23,24,1.77,,1.85,15,8,GWTL,SHOV,
,KESTERSON,10/21,103,371,371,3.60,,3.60,151,63,SHOV,MALL,
,KESTERSON,10/22,58,187,193,3.22,,3.33,80,44,GWTL,SHOV,
,LOS BANOS,10/21,262,966,973,3.69,0.004,3.71,427,184,MALL,SHOV,
,LOS BANOS,10/22,160,313,313,1.96,,1.96,140,57,MALL,GWTL,
,MENDOTA,10/21,682,2781,2783,4.08,,4.08,973,787,GWTL,SHOV,
,MENDOTA,10/22,304,559,559,1.84,,1.84,181,132,GWTL,SHOV,
,MERCED,10/21,26,94,96,3.62,0.04,3.69,43,23,SHOV,MALL,
,NORTH FRIETAS,10/21,46,190,190,4.13,,4.13,146,14,MALL,GWTL,
,NORTH FRIETAS,10/22,31,122,122,3.94,,3.94,57,53,GWTL,MALL,
,SOUTH FRIETAS,10/21,41,147,147,3.59,,3.59,87,32,MALL,GWTL,
,SOUTH FRIETAS,10/22,37,104,104,2.81,,2.81,42,37,MALL,GWTL,
,SALT SLOUGH (NO.GL),10/21,99,382,382,3.86,,3.86,157,77,MALL,CINT,
,SALT SLOUGH (NO.GL),10/22,48,86,87,1.79,,1.81,37,17,MALL,CINT,
,SALTON SEA NWR,10/21,52,133,135,2.56,,2.60,58,31,CINT,GWTL,
,SALTON SEA NWR,10/22,13,5,5,0.38,,0.38,2,1,REDH,MALL,
,SAN JACINTO,10/21,112,473,473,4.22,,4.22,190,135,CINT,SHOV,
,SAN LUIS,10/21,146,502,502,3.44,,3.44,144,142,SHOV,GWTL,
,SAN LUIS,10/22,94,313,316,3.33,,3.36,206,46,GWTL,MALL,
,SHASTA VALLEY,10/18,30,88,90,2.93,,3.00,41,19,GWTL,MALL,
,SHASTA VALLEY,10/21,21,68,73,3.24,0.24,3.48,35,14,GWTL,PNTL,
,SHASTA VALLEY,10/22,19,18,18,0.95,,0.95,7,6,PNTL,GWTL,
,VOLTA,10/21,150,719,722,4.79,0.007,4.81,264,222,SHOV,MALL,
,VOLTA,10/22,60,181,181,3.02,,3.02,50,43,MALL,SHOV,
,WISTER,10/21,457,1816,1831,3.97,0.009,4.01,850,311,GWTL,CINT,
,WISTER,10/22,303,385,387,1.27,0.003,1.28,180,69,GWTL,CINT,
,WEST FAMILY JR UNIT,10/21,6,15,15,2.50,,2.50,8,3,SHOV,AMWI,
,WEST FAMILY JR UNIT,10/22,1,1,1,1.00,,1.00,1,0,MALL,,
,ASH CREEK,10/25,3,14,14,4.67,,4.67,6,5,AMWI,GWTL,
,ASH CREEK,10/28,7,19,19,2.71,,2.71,7,6,MALL,AMWI,
,ASH CREEK,10/29,6,3,3,0.50,,0.50,1,1,MALL,GADW,
,DELEVAN,10/28,263,1000,1209,3.80,0.79,4.60,198,182,MALL,SHOV,
,DELEVAN,10/29,189,413,543,2.19,0.68,2.87,99,63,PNTL,GWTL,
,BUTTE VALLEY,10/25,13,52,53,4.00,,4.08,30,8,GWTL,AMWI,
,BUTTE VALLEY,10/28,21,88,88,4.19,,4.19,57,12,GWTL,SHOV,
,BUTTE VALLEY,10/29,11,17,17,1.55,,1.55,9,3,GWTL,AMWI,
,FINNEY-RAMER,10/27,3,4,14,1.33,,1.33,3,1,GWTL,CINT,
,FINNEY-RAMER,10/28,3,6,6,2.00,,2.00,3,2,GWTL,SHOV,
,FINNEY-RAMER,10/29,1,2,2,2.00,,2.00,1,1,CINT,SHOV,
,COLUSA,10/28,152,669,705,4.40,0.23,4.64,148,116,SHOV,GWTL,
,COLUSA,10/29,94,173,183,1.84,0.11,1.95,46,35,MALL,PNTL,
,GADWALL (NO.GL),10/25,26,120,120,4.62,,4.62,29,28,SHOV,GWTL,
,GADWALL (NO.GL),10/28,25,89,89,3.56,,3.56,46,17,CINT,SHOV,
,GADWALL (NO.GL),10/29,27,49,49,1.81,,1.81,17,15,CINT,GWTL,
,GRAY LODGE,10/28,559,3235,3249,5.79,0.02,5.81,983,507,GWTL,MALL,
,GRAY LODGE,10/29,328,950,970,2.90,0.04,2.96,259,175,GWTL,MALL,
,GRIZZLY ISLAND,10/25,163,378,379,2.32,0.006,2.33,103,82,SHOV,MALL,
,GRIZZLY ISLAND,10/28,141,189,196,1.34,0.007,1.39,99,31,SHOV,GWTL,
,GRIZZLY ISLAND,10/29,56,61,63,1.09,0.02,1.13,24,11,SHOV,MALL,
,HONEY LAKE-DAKIN,10/25,12,51,51,4.25,,4.25,23,10,GADW,SHOV,
,HONEY LAKE-DAKIN,10/28,26,42,42,1.62,,1.62,12,9,GADW,SHOV,
,HONEY LAKE-DAKIN,10/29,14,21,21,1.50,,1.50,7,6,PNTL,MALL,
,HONEY LAKE-FLEMING,10/25,13,34,34,2.62,,2.62,10,7,GADW,MALL,
,HONEY LAKE-FLEMING,10/28,20,32,34,1.60,,1.70,6,6,MALL,GWTL,
,HONEY LAKE-FLEMING,10/29,11,18,19,1.64,0.09,1.73,8,4,MALL,GADW,
,HOWARD SLOUGH (UBB),10/28,51,253,253,4.96,,4.96,97,31,MALL,AMWI,
,HOWARD SLOUGH (UBB),10/29,41,79,85,1.93,,2.07,24,16,MALL,CINT,
,KERN,10/25,79,248,267,3.14,0.10,3.38,46,41,GADW,SHOV,
,KERN,10/28,82,291,300,3.55,0.01,3.66,87,48,SHOV,GWTL,
,KESTERSON,10/25,53,202,203,3.81,0.02,3.83,70,55,SHOV,MALL,
,KESTERSON,10/28,49,132,132,2.69,,2.69,54,40,SHOV,GWTL,
,KESTERSON,10/29,56,29,29,0.52,,0.52,8,7,SHOV,GWTL,
,LITTLE DRY CR. (UBB),10/28,94,420,433,4.47,0.13,4.61,165,87,MALL,GADW,
,LITTLE DRY CR. (UBB),10/29,97,218,222,2.25,0.04,2.29,70,50,MALL,WDDU,
,LLANO SECO (UBB),10/28,24,60,60,2.50,,2.50,24,10,GWTL,AMWI,
,LLANO SECO (UBB),10/29,23,42,43,1.83,0.04,1.87,16,7,GWTL,AMWI,
,LOS BANOS,10/25,93,440,445,4.73,0.05,4.78,272,41,MALL,SHOV,
,LOS BANOS,10/28,127,205,211,1.61,,1.66,80,31,MALL,GWTL,
,LOS BANOS,10/29,65,67,67,1.03,,1.03,26,14,MALL,GWTL,
,MENDOTA,10/25,149,346,360,2.32,0.07,2.42,147,61,MALL,SHOV,
,MENDOTA,10/28,166,294,296,1.77,0.01,1.78,84,63,GWTL,SHOV,
,MENDOTA,10/29,108,100,100,0.93,,0.93,29,21,SHOV,RNDU,
,MERCED,10/25,19,78,80,4.11,0.11,4.21,29,24,MALL,SHOV,
,MERCED,10/28,26,61,65,2.35,0.15,2.50,30,15,SHOV,MALL,
,NORTH FRIETAS,10/25,18,99,99,5.50,,5.50,74,7,MALL,GADW W,
