Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species
ASH CREEK,10/11,34,169,177,4.97,0.24,5.21,50,43,MALL,GWTL
ASH CREEK,10/12,26,34,34,1.31,,1.31,14,11,GADW,MALL
ASH CREEK,10/15,14,23,26,1.64,0.21,1.86,6,5,GADW,GWTL
BUTTE VALLEY,10/11,2,14,14,7.00,,7.00,8,2,GWTL,MALL
BUTTE VALLEY,10/12,2,2,2,1.00,,1.00,1,1,PNTL,GWTL
HONEY LAKE-DAKIN,10/11,54,234,235,4.33,0.02,4.35,89,61,MALL,GADW
HONEY LAKE-DAKIN,10/12,30,121,123,4.03,0.07,4.10,39,21,MALL,AMWI
HONEY LAKE-FLEMING,10/11,44,198,203,4.50,0.11,4.61,91,55,MALL,GADW
HONEY LAKE-FLEMING,10/12,35,82,86,2.34,0.11,2.46,31,16,MALL,GADW
WILLOW CREEK,10/11,29,112,116,3.86,0.14,4.00,61,16,MALL,GADW
ASH CREEK,10/18,14,35,35,2.50,,2.50,13,8,MALL,GADW
ASH CREEK,10/22,12,32,32,2.67,,2.67,10,6,MALL,GADW
ASH CREEK,10/25,12,38,40,3.17,0.17,3.33,12,10,AMWI,GADW
ASH CREEK,10/26,10,10,11,1.00,0.10,1.10,4,3,MALL,GADW
HONEY LAKE-DAKIN,10/15,22,102,102,4.64,,4.64,44,22,MALL,GADW
HONEY LAKE-DAKIN,10/18,30,95,98,3.17,0.10,3.27,39,18,MALL,SHOV
HONEY LAKE-DAKIN,10/22,23,105,105,4.57,,4.57,48,22,MALL,GADW
HONEY LAKE-DAKIN,10/25,30,90,92,3.00,0.07,3.07,42,18,MALL,SHOV
HONEY LAKE-DAKIN,10/26,25,66,67,2.64,0.04,2.68,24,19,MALL,SHOV
HONEY LAKE-FLEMING,10/15,9,36,36,4.00,,4.00,12,9,MALL,GADW
HONEY LAKE-FLEMING,10/18,25,92,92,3.68,,3.68,52,15,MALL,GADW
