Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Species,#2 Species
ASH CREEK,10/13,19,63,14,77,3.32,0.74,4.05,21,18,GADW,MALL
ASH CREEK,10/16,24,96,7,103,4.00,0.29,4.29,29,26,GADW,MALL
ASH CREEK,10/17,10,12,0,12,1.20,,1.20,5,3,NOPI,AMWI
BUTTE VALLEY,10/13,4,8,6,14,2.00,1.50,3.50,4,2,NOPI,AMWI
BUTTE VALLEY,10/16,6,12,2,14,2.00,0.33,2.33,6,6,NSHO,AGWT
BUTTE VALLEY,10/17,1,1,0,1,1.00,,1.00,1,0,NOPI,
HONEY LAKE-DAKIN,10/13,42,147,1,148,3.50,0.02,3.52,48,25,MALL,GADW
HONEY LAKE-DAKIN,10/16,42,118,5,123,2.81,0.12,2.93,45,23,MALL,NSHO
HONEY LAKE-DAKIN,10/17,21,58,1,59,2.76,0.05,2.81,21,17,MALL,NSHO
HONEY LAKE-FLEMING,10/13,18,92,0,92,5.11,,5.11,41,19,MALL,GADW
HONEY LAKE-FLEMING,10/16,26,85,3,88,3.27,0.12,3.38,36,15,MALL,NSHO
HONEY LAKE-FLEMING,10/17,15,52,0,52,3.47,,3.47,22,11,MALL,AGWT
WILLOW CREEK,10/13,6,15,1,16,2.50,0.17,2.67,5,4,MALL,AMWI
WILLOW CREEK,10/16,16,23,1,24,1.44,0.06,1.50,10,5,AMWI,BUFF
WILLOW CREEK,10/17,5,8,2,10,1.60,0.40,2.00,4,2,BUFF,AGWT
ASH CREEK,10/20,3,14,0,14,4.67,,4.67,6,5,AMWI,AGWT
ASH CREEK,10/23,7,19,0,19,2.71,,2.71,7,6,MALL,AMWI
ASH CREEK,10/24,6,3,0,3,0.50,,0.50,1,1,MALL,GADW
BUTTE VALLEY,10/20,13,52,1,53,4.00,0.08,4.08,30,8,AGWT,AMWI
BUTTE VALLEY,10/23,21,88,0,88,4.19,,4.19,57,12,AGWT,NSHO
BUTTE VALLEY,10/24,11,17,0,17,1.55,,1.55,9,3,AGWT,AMWI
HONEY LAKE-DAKIN,10/20,11,47,0,47,4.27,,4.27,21,9,GADW,NSHO
HONEY LAKE-DAKIN,10/23,24,39,0,39,1.63,,1.63,11,8,GADW,NSHO
HONEY LAKE-DAKIN,10/24,13,19,0,19,1.46,,1.46,6,5,NOPI,MALL
HONEY LAKE-FLEMING,10/20,12,31,0,31,2.58,,2.58,9,6,GADW,MALL
HONEY LAKE-FLEMING,10/23,18,29,2,31,1.61,0.11,1.72,5,5,MALL,AGWT
HONEY LAKE-FLEMING,10/24,10,16,1,17,1.60,0.10,1.70,7,4,MALL,GADW
WILLOW CREEK,10/23,2,4,0,4,2.00,,2.00,2,1,AMWI,MALL
WILLOW CREEK,10/24,5,2,0,2,0.40,,0.40,2,0,BUFF,
CHINA ISLAND,10/23,36,106,24,130,2.94,0.67,3.61,65,22,MALL,WDDU
CHINA ISLAND,10/24,29,88,23,111,3.03,0.79,3.83,26,23,MALL,NSHO
DELEVAN,10/23,255,969,204,1173,3.80,0.80,4.60,192,176,MALL,NSHO
DELEVAN,10/24,183,401,126,527,2.19,0.69,2.88,96,61,NOPI,AGWT
FINNEY-RAMER,10/23,13,26,0,26,2.00,,2.00,10,8,NSHO,AGWT
FINNEY-RAMER,10/24,7,10,0,10,1.43,,1.43,3,3,NSHO,AGWT
GADWALL UNIT,10/23,39,221,0,221,5.67,,5.67,71,69,AGWT,Cinnamon Teal
GADWALL UNIT,10/24,32,139,1,140,4.34,0.03,4.38,58,44,AGWT,Cinnamon Teal
GRAY LODGE,10/23,543,3144,14,3158,5.79,0.03,5.82,955,492,AGWT,MALL
GRAY LODGE,10/24,319,923,20,943,2.89,0.06,2.96,251,170,AGWT,MALL
GRIZZLY ISLAND,10/23,417,1818,19,1837,4.36,0.05,4.41,560,401,NSHO,MALL
GRIZZLY ISLAND,10/24,176,411,1,412,2.34,0.01,2.34,135,116,NSHO,AGWT
ISLAND SLOUGH,10/23,46,164,0,164,3.57,,3.57,96,61,AGWT,NSHO
