Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
ASH CREEK,10/5,11,35,16,51,3.18,1.45,4.64,NSHO,CAGO
ASH CREEK,10/6,10,26,2,28,2.6,0.2,2.8,MALL,NSHO
BUTTE VALLEY,10/5,7,26,9,35,3.71,1.29,5,MALL,GWFG
BUTTE VALLEY,10/6,4,5,4,9,1.25,1,2.25,AGWT/CAGO,AMWI/NOPI/GWFG
HONEY LAKE DAKIN,10/5,14,77,5,82,5.5,0.36,5.86,MALL,NSHO
HONEY LAKE DAKIN,10/6,12,25,0,25,2.08,0,2.08,AGWT,MALL
HONEY LAKE FLEMING,10/5,16,61,0,61,3.81,0,3.81,GADW,MALL
HONEY LAKE FLEMING,10/6,5,10,0,10,2,0,2,MALL,NSHO
WILLOW CREEK,10/5,11,46,0,46,4.18,0,4.18,MALL,NSHO
WILLOW CREEK,10/6,5,15,0,15,3,0,3,GADW,NSHO
ASH CREEK,10/12,9,28,1,29,3.11,0.11,3.22,AMWI,GADW
ASH CREEK,10/13,10,10,0,10,1,0,1,MALL,AMWI
HONEY LAKE DAKIN,10/12,17,30,1,31,1.76,0.06,1.82,MALL,NOPI
HONEY LAKE DAKIN,10/13,12,12,1,13,1,0.08,1.08,MALL,GADW
HONEY LAKE FLEMING,10/12,18,29,2,31,1.61,0.11,1.72,MALL,AGWT
HONEY LAKE FLEMING,10/13,10,16,1,17,1.6,0.1,1.7,MALL,GADW
WILLOW CREEK,10/12,1,0,0,0,0,0,0,NONE,NONE
WILLOW CREEK,10/13,4,19,0,19,4.75,0,4.75,GADW,AMWI
CHINA ISLAND,10/19,34,106,21,127,3.12,0.62,3.74,MALL,WDDU
CHINA ISLAND,10/20,30,88,20,108,2.93,0.67,3.6,MALL,NSHO
DELEVAN,10/19,255,969,204,1173,3.8,0.8,4.6,MALL,NSHO
DELEVAN,10/20,183,401,126,527,2.19,0.69,2.88,NOPI,AGWT
FINNEY-RAMER,10/19,13,26,0,26,2,0,2,NSHO,AGWT
FINNEY-RAMER,10/20,7,10,0,10,1.43,0,1.43,NSHO,AGWT
GADWALL UNIT,10/19,39,221,0,221,5.67,0,5.67,AGWT,CINT
GADWALL UNIT,10/20,32,139,1,140,4.34,0.03,4.38,AGWT,CINT
GRAY LODGE,10/19,543,3144,14,3158,5.79,0.03,5.82,AGWT,MALL
GRAY LODGE,10/20,319,923,20,943,2.89,0.06,2.96,AGWT,MALL
GRIZZLY ISLAND,10/19,417,1818,19,1837,4.36,0.05,4.41,NSHO,MALL
GRIZZLY ISLAND,10/20,176,411,1,412,2.34,0.01,2.34,NSHO,AGWT
KESTERSON,10/19,100,359,0,359,3.59,0,3.59,NSHO,MALL
KESTERSON,10/20,55,177,6,183,3.22,0.11,3.33,AGWT,NSHO
LOS BANOS,10/19,255,938,8,946,3.68,0.03,3.71,MALL,NSHO
LOS BANOS,10/20,157,305,0,305,1.94,0,1.94,MALL,AGWT
MENDOTA,10/19,664,2709,2,2711,4.08,0,4.08,AGWT,NSHO
MENDOTA,10/20,296,545,0,545,1.84,0,1.84,AGWT,NSHO
MERCED,10/19,25,90,2,92,3.6,0.08,3.68,NSHO,MALL
NORTH FRIETAS,10/19,44,182,0,182,4.14,0,4.14,MALL,AGWT
NORTH FRIETAS,10/20,30,120,0,120,4,0,4,AGWT,MALL
SOUTH FRIETAS,10/19,40,142,0,142,3.55,0,3.55,MALL,AGWT
SOUTH FRIETAS,10/20,36,101,0,101,2.81,0,2.81,MALL,AGWT
SALT SLOUGH,10/19,95,367,0,367,3.86,0,3.86,MALL,CINT
SALT SLOUGH,10/20,46,83,1,84,1.8,0.02,1.83,MALL,CINT
SAN LUIS,10/19,142,488,0,488,3.44,0,3.44,NSHO,AGWT
SAN LUIS,10/20,91,304,3,307,3.34,0.03,3.37,AGWT,MALL
VOLTA,10/19,145,696,3,699,4.8,0.02,4.82,NSHO,MALL
VOLTA,10/20,58,175,0,175,3.02,0,3.02,MALL,NSHO
YOLO,10/19,140,435,16,451,3.11,0.11,3.22,NSHO,MALL
YOLO,10/20,80,87,10,97,1.09,0.13,1.21,NSHO,MALL
CHINA ISLAND,10/23,11,10,0,10,0.91,0,0.91,MALL,AGWT
CHINA ISLAND,10/26,20,34,0,34,1.7,0,1.7,MALL,WDDU
CHINA ISLAND,10/27,13,21,0,21,1.62,0,1.62,MALL,AGWT
COLUSA,10/26,103,205,3,208,1.99,0.03,2.02,NSHO,RING
COLUSA,10/27,70,129,4,133,1.84,0.06,1.9,MALL,AGWT
HOWARD SLOUGH,10/26,50,115,0,115,2.3,0,2.3,MALL,AGWT
HOWARD SLOUGH,10/27,30,73,0,73,2.43,0,2.43,WDDU,AMWI
LITTLE DRY CREEK,10/26,81,195,1,196,2.41,0.01,2.42,MALL,WDDU
LITTLE DRY CREEK,10/27,63,115,2,117,1.83,0.03,1.86,MALL,AMWI
LLANO SECO,10/26,29,50,0,50,1.72,0,1.72,AMWI,CINT
LLANO SECO,10/27,13,16,0,16,1.23,0,1.23,AGWT,NSHO
SACRAMENTO,10/26,179,539,60,599,3.01,0.34,3.35,AMWI,NSHO
SACRAMENTO,10/27,144,272,20,292,1.89,0.14,2.03,MALL,NSHO
SUTTER,10/26,86,160,2,162,1.86,0.02,1.88,MALL,AGWT
SUTTER,10/27,75,122,8,130,1.63,0.11,1.73,MALL,AGWT
DELEVAN,11/2,194,614,42,656,3.16,0.22,3.38,MALL,AMWI
DELEVAN,11/3,173,342,55,397,1.98,0.32,2.29,GADW,NSHO
GRAY LODGE,11/2,532,167,2,169,0.31,0,0.32,MALL,NSHO
GRAY LODGE,11/3,316,123,24,147,0.39,0.08,0.47,MALL,WDDU
SACRAMENTO,11/2,184,419,23,442,2.28,0.13,2.4,GADW,NSHO
SACRAMENTO,11/3,155,134,8,142,0.86,0.05,0.92,NSHO,GADW
SUTTER,11/2,77,140,2,142,1.82,0.03,1.84,MALL,NSHO
SUTTER,11/3,66,49,4,53,0.74,0.06,0.8,MALL,GADW
DELEVAN,11/30,120,406,10,416,3.38,0.08,3.47,GADW,NSHO
DELEVAN,12/1,148,265,11,276,1.79,0.07,1.86,NSHO,GADW
GRAY LODGE,11/30,243,327,40,367,1.35,0.16,1.51,MALL,AMWI
GRAY LODGE,12/1,137,188,31,219,1.37,0.23,1.6,NSHO,AMWI
SACRAMENTO,11/30,186,455,1384,1839,2.45,0.11,2.55,GADW,MALL
SACRAMENTO,12/1,148,172,7,179,1.16,0.05,1.21,GADW,NSHO
SUTTER,11/30,79,185,0,185,2.34,0,2.34,AGWT,AMWI
SUTTER,12/1,66,71,2,73,1.08,0.03,1.11,AGWT,AMWI
DELEVAN,12/21,165,403,17,420,2.44,0.1,2.55,GADW,NSHO
DELEVAN,12/22,108,154,16,170,1.43,0.15,1.57,AMWI,NSHO
GRAY LODGE,12/21,211,377,25,402,1.79,0.04,1.91,MALL,AMWI
GRAY LODGE,12/22,96,178,37,215,1.85,0.16,2.24,MALL,AMWI
SACRAMENTO,12/21,198,278,38,316,1.4,0.16,1.6,GADW,NSHO
SACRAMENTO,12/22,98,85,5,90,0.87,0.05,0.92,NSHO,GADW
SUTTER,12/21,82,196,2,198,2.39,0.02,2.41,AGWT,MALL
SUTTER,12/22,25,95,0,95,3.8,0,3.8,AGWT,MALL
DELEVAN,1/4,172,587,35,622,3.41,0.2,3.62,GADW,NSHO
DELEVAN,1/5,127,230,22,252,1.81,0.17,1.98,NSHO,GADW
GRAY LODGE,1/4,275,485,45,530,1.76,0.16,1.93,GADW,MALL
GRAY LODGE,1/5,136,193,26,219,1.42,0.19,1.61,MALL,AMWI
SACRAMENTO,1/4,194,417,20,437,2.15,0.1,2.25,NSHO,GADW
SACRAMENTO,1/5,137,136,18,154,0.99,0.13,1.12,NSHO,MALL
SUTTER,1/4,83,304,50,354,3.66,0.6,4.27,AGWT,AMWI
SUTTER,1/5,95,172,15,187,1.81,0.16,1.97,AGWT,AMWI
DELEVAN,1/11,178,988,40,1028,5.55,0.22,5.78,AGWT,GADW
DELEVAN,1/12,142,488,19,507,3.44,0.13,3.57,GADW,NSHO
GRAY LODGE,1/11,265,944,181,1125,3.56,0.68,4.25,MALL,GADW
GRAY LODGE,1/12,188,473,96,569,2.52,0.51,3.03,MALL,GADW
