Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
Ash Creek,10/23,19,53,4,57,2.8,0.2,3.0,MALL,AGWT
Ash Creek,10/26,32,87,14,101,2.7,0.4,3.2,MALL,AMWI
Ash Creek,10/27,8,2,0,2,0.3,0.0,0.3,MALL,N/A
Ash Creek,10/30,9,9,0,9,1.0,0.0,1.0,NSHO,GADW
Ash Creek,11/2,15,45,0,45,3.0,0.0,3.0,MALL,NSHO
Ash Creek,11/3,12,20,0,20,1.7,0.0,1.7,MALL,AMWI
Ash Creek,11/6,5,11,0,11,2.2,0.0,2.2,GADW,MALL
Ash Creek,11/9,21,49,0,49,2.3,0.0,2.3,MALL,GADW
Ash Creek,11/10,3,11,0,11,3.7,0.0,3.7,BUFF,MALL
Ash Creek,11/13,5,5,0,5,1.0,0.0,1.0,NSHO,GADW
Ash Creek,11/16,19,59,0,59,3.1,0.0,3.1,MALL,AMWI
Ash Creek,11/19,4,1,0,1,0.3,0.0,0.3,MALL,N/A
Ash Creek,11/20,13,22,1,23,1.7,0.1,1.8,MALL,AMWI
Ash Creek,11/23,16,35,0,35,2.2,0.0,2.2,MALL,AMWI
Ash Creek,11/24,7,9,0,9,1.3,0.0,1.3,MALL,GADW
Ash Creek,11/27,15,33,1,34,2.2,0.1,2.3,MALL,RNDU
Ash Creek,11/30,11,16,2,18,1.5,0.2,1.6,MALL,BUFF
Ash Creek,12/1,2,0,0,0,0.0,0.0,0.0,N/A,N/A
Ash Creek,12/4,6,4,2,6,0.7,0.3,1.0,AMWI,AMWI
Ash Creek,12/7,13,11,2,13,0.8,0.2,1.0,MALL,NSHO
Ash Creek,12/8,5,0,0,0,0.0,0.0,0.0,N/A,N/A
Butte Valley,10/23,4,7,0,7,1.8,0.0,1.8,NSHO,AGWT
Butte Valley,10/26,3,1,0,1,0.3,0.0,0.3,AGWT,N/A
