Area Name,Latitude,Longitude
ASH CREEK,39.5,-120.5
BUTTE VALLEY,39.3,-121.6
CHINA ISLAND,38.1,-121.7
COLUSA,39.2,-122.0
DELEVAN,37.4,-120.8
DELTA - TWITCHELL,37.8,-121.5
FINNEY-RAMER,36.0,-119.2
GADWALL,39.1,-121.8
GOLD HILLS,39.1,-120.8
GRAY LODGE,39.0,-122.0
GRIZZLY ISLAND,38.1,-121.8
HONEY LAKE - DAKIN,40.2,-120.2
HONEY LAKE - FLEMING,40.2,-120.2
HOWARD SLOUGH,39.4,-121.9
ISLAND SLOUGH,39.4,-121.9
JOICE ISLAND,39.1,-121.8
KERN,35.3,-119.0
KESTERSON,37.3,-120.9
LITTLE DRY CREEK,39.3,-121.6
LLANO SECO,39.3,-121.6
LOS BANOS,37.1,-120.8
MENDOTA,36.8,-120.4
MERCED,37.3,-120.5
SACRAMENTO,38.6,-121.5
SALT SLOUGH,39.4,-121.9
SALTON SEA NWR,33.2,-115.8
SAN JACINTO,33.8,-117.0
SAN LUIS,37.1,-120.8
SHASTA VALLEY,40.7,-122.3
SONNY BONO,33.2,-115.8
SUTTER,39.2,-121.7
VOLTA,37.1,-120.8
WEST BEAR CREEK,37.3,-120.5
WILLOW CREEK,40.9,-123.6
WISTER,37.3,-120.5
YOLO,38.7,-121.8
